latitude,longitude,api
3111883.2656660527,-10916714.068392962,42047016540000
3112704.322381984,-10916970.54849975,42047300860000
3120920.271851547,-10909002.410668258,42047301050000
3113650.4008316156,-10914253.462368468,42047301130000
3113089.712466655,-10915774.977168629,42047305840000
3112871.98512405,-10914849.689561155,42047306060000
3116955.682262988,-10914438.030084202,42047306070000
3114245.0719959573,-10915666.997262562,42047306080000
3115696.959195074,-10914943.643211385,42047306160000
3115374.804117531,-10915420.090631979,42047306530000
3114422.8664446035,-10914981.714477237,42047306540000
3129719.9783859923,-10923617.435295016,42047306550000
3116738.2697707685,-10910842.967129033,42047306560000
3119659.8201136296,-10910777.622587938,42047306860000
3118700.098908646,-10914788.909119183,42047307010000
3119840.5557835717,-10910561.106178345,42047307630000
3119392.7802304653,-10911131.061971206,42047308030000
3119903.757609522,-10910254.5323007,42047308340000
3155877.45194635,-10911393.108052533,42047308790000
3115596.066424535,-10912986.98052171,42047309590000
3118874.4525526133,-10911756.788828954,42047309910000
3111513.512396997,-10916776.629946787,42047310710000
3117572.347799995,-10916469.388152197,42047310860000
3120074.7536968817,-10911338.784141028,42047312030000
3115502.16687181,-10915416.751047257,42047312320000
3115272.914743582,-10916705.162833696,42047312370000
3120681.4381109416,-10912027.740469545,42047313020000
3118218.6392876236,-10914858.8177594,42047313360000
3117250.7742062015,-10914786.571409876,42047314850000
3119264.2581651225,-10909399.598611409,42047314860000
3119248.146152308,-10909352.844425274,42047315400000
3113884.6206155,-10913656.344619852,42047317010000
3119585.5030794274,-10909372.770614127,42047317280000
3119759.368084021,-10909189.872690754,42047317460000
3119310.720817055,-10908703.740474459,42047317530000
3119420.133474662,-10908921.592717942,42047317540000
3119554.402453944,-10909157.812677404,42047317820000
3119931.7363741673,-10909568.025000978,42047317830000
3119254.640914943,-10908433.902028777,42047318150000
3119311.720015557,-10908338.501225166,42047318410000
3108105.9223117875,-10935206.350884048,42047318450000
3155712.2790673487,-10924724.730269935,42047319370000
3110273.8736048513,-10918228.681384694,42047321590000
3112062.6531740855,-10918260.29612008,42047324180000
3125810.6355078835,-10920906.694374708,42047324230000
3130624.952633861,-10923814.58211321,42047324240000
3120786.9891330223,-10911835.046430983,42047324280000
3120643.5898309485,-10911267.984944882,42047324290000
3113429.918175565,-10913732.153193083,42047324320000
